OmaTunniste;OmaItä;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa;lamposumma_v;rainfall_v;;
2;3574450;7074350;Valtimo;2060;19610412;1961;4;12;3575000;7075000;-3.9;0.7;-10.3;0;12164;2.63;0;106;;
2;3574450;7074350;Valtimo;2060;19610413;1961;4;13;3575000;7075000;-4.6;2.6;-14.9;0;14566;2.67;0;106;;
2;3574450;7074350;Valtimo;2060;19610414;1961;4;14;3575000;7075000;-3.1;-0.1;-9;1;5572;4.04;0;107;;
2;3574450;7074350;Valtimo;2060;19610415;1961;4;15;3575000;7075000;1;2.5;-1.3;3;3335;6.4;0;110;;
2;3574450;7074350;Valtimo;2060;19610416;1961;4;16;3575000;7075000;1.5;3.7;0;0;4899;6.07;0;110;;
2;3574450;7074350;Valtimo;2060;19610417;1961;4;17;3575000;7075000;3.1;7.8;-3.3;0;15522;4.73;0;110;;
2;3574450;7074350;Valtimo;2060;19610418;1961;4;18;3575000;7075000;3.7;7.7;-1.1;0;6732;5.33;0;110;;
2;3574450;7074350;Valtimo;2060;19610419;1961;4;19;3575000;7075000;1;4.4;-2.6;0;14551;4.71;0;110;;
2;3574450;7074350;Valtimo;2060;19610420;1961;4;20;3575000;7075000;-1.3;1.2;-3.7;0;13280;3.72;0;110;;
2;3574450;7074350;Valtimo;2060;19610421;1961;4;21;3575000;7075000;-1;3.8;-6.5;0;14235;3.6;0;110;;
2;3574450;7074350;Valtimo;2060;19610422;1961;4;22;3575000;7075000;-0.3;4.6;-7.7;0;12992;4.9;0;110;;
2;3574450;7074350;Valtimo;2060;19610423;1961;4;23;3575000;7075000;2;5;-0.9;0;16175;4.57;0;110;;
2;3574450;7074350;Valtimo;2060;19610424;1961;4;24;3575000;7075000;1.2;6.4;-7.4;0;16653;3.83;0;110;;
2;3574450;7074350;Valtimo;2060;19610425;1961;4;25;3575000;7075000;4.1;11.1;-4.7;0;14470;5.25;0;110;;
2;3574450;7074350;Valtimo;2060;19610426;1961;4;26;3575000;7075000;8.6;14.7;0;0;17586;6.42;3.6;110;;
2;3574450;7074350;Valtimo;2060;19610427;1961;4;27;3575000;7075000;2.3;9.6;-0.7;0;10150;5.17;3.6;110;;
2;3574450;7074350;Valtimo;2060;19610428;1961;4;28;3575000;7075000;-2.4;0.5;-7;0;14164;3.59;3.6;110;;
2;3574450;7074350;Valtimo;2060;19610429;1961;4;29;3575000;7075000;-3.2;0.3;-11.6;4;8732;4.05;3.6;114;;
2;3574450;7074350;Valtimo;2060;19610430;1961;4;30;3575000;7075000;-0.9;2.5;-4.2;0;12544;4.07;3.6;114;;
2;3574450;7074350;Valtimo;2060;19610501;1961;5;1;3575000;7075000;-0.3;3.9;-7.4;0;16481;3.65;3.6;114;;
2;3574450;7074350;Valtimo;2060;19610502;1961;5;2;3575000;7075000;0.8;4.2;-4.2;2;8428;5.34;3.6;116;;
2;3574450;7074350;Valtimo;2060;19610503;1961;5;3;3575000;7075000;4.2;9.9;0.1;0;13704;5.91;3.6;116;;
2;3574450;7074350;Valtimo;2060;19610504;1961;5;4;3575000;7075000;6.3;13.1;-1.2;0;14978;6.27;4.9;116;;
